DATE,XAUUSD
2024-03-07,2160.115
2024-03-08,2179.105
2024-03-11,2182.73
2024-03-12,2158.46
2024-03-13,2174.385
2024-03-14,2162.13
2024-03-15,2156.01
2024-03-18,2160.32
2024-03-19,2157.575
2024-03-20,2186.37
2024-03-21,2181.34
2024-03-22,2165.31
2024-03-25,2171.805
2024-03-26,2178.74
2024-03-27,2194.86
2024-03-28,2233.12
2024-04-01,2251.67
2024-04-02,2280.815
2024-04-03,2299.93
2024-04-04,2291.21
2024-04-05,2330.16
2024-04-08,2339.15
2024-04-09,2352.41
2024-04-10,2333.865
2024-04-11,2372.285
2024-04-12,2344.235
2024-04-15,2383.51
2024-04-16,2383.13
2024-04-17,2361.095
2024-04-18,2379.05
2024-04-19,2392.07
2024-04-22,2327.24
2024-04-23,2322.13
2024-04-24,2315.95
2024-04-25,2332.49
2024-04-26,2338.05
2024-04-29,2335.55
2024-04-30,2286.21
2024-05-01,2319.56
2024-05-02,2303.8
2024-05-03,2301.81
2024-05-06,2323.995
2024-05-07,2314.135
2024-05-08,2308.69
2024-05-09,2346.245
2024-05-10,2360.565
2024-05-13,2336.14
2024-05-14,2358.035
2024-05-15,2386.13
2024-05-16,2376.955
2024-05-17,2414.715
2024-05-20,2426.53
2024-05-21,2421.025
2024-05-22,2379.175
2024-05-23,2328.67
2024-05-24,2334.0
2024-05-27,2351.375
2024-05-28,2361.385
2024-05-29,2338.145
2024-05-30,2343.34
2024-05-31,2327.2
2024-06-03,2350.635
2024-06-04,2327.01
2024-06-05,2355.28
2024-06-06,2376.09
2024-06-07,2294.155
2024-06-10,2310.995
2024-06-11,2316.905
2024-06-12,2325.03
2024-06-13,2304.135
2024-06-14,2332.645
2024-06-17,2319.285
2024-06-18,2329.58
2024-06-19,2328.23
2024-06-20,2360.12
2024-06-21,2321.875
2024-06-24,2334.43
2024-06-25,2319.595
2024-06-26,2298.47
2024-06-27,2327.81
2024-06-28,2326.705
2024-07-01,2331.855
2024-07-02,2329.485
2024-07-03,2356.16
2024-07-04,2357.2
2024-07-05,2391.62
2024-07-08,2359.26
2024-07-09,2364.03
2024-07-10,2371.32
2024-07-11,2415.375
2024-07-12,2410.92
2024-07-15,2422.395
2024-07-16,2468.93
2024-07-17,2458.81
2024-07-18,2445.31
2024-07-19,2400.82
2024-07-22,2396.42
2024-07-23,2409.65
2024-07-24,2397.395
2024-07-25,2364.3
2024-07-26,2387.02
2024-07-29,2383.79
2024-07-30,2410.88
2024-07-31,2447.57
2024-08-01,2446.385
2024-08-02,2442.455
2024-08-05,2409.89
2024-08-06,2390.13
2024-08-07,2382.91
2024-08-08,2427.27
2024-08-09,2431.265
2024-08-12,2472.205
2024-08-13,2465.055
2024-08-14,2447.95
2024-08-15,2456.645
2024-08-16,2508.14
2024-08-19,2504.285
2024-08-20,2514.11
2024-08-21,2512.25
2024-08-22,2484.72
2024-08-23,2512.59
2024-08-26,2517.955
2024-08-27,2524.88
2024-08-28,2504.69
2024-08-29,2521.215
2024-08-30,2503.4
2024-09-02,2499.42
2024-09-03,2492.95
2024-09-04,2495.545
2024-09-05,2516.815
2024-09-06,2497.565
2024-09-09,2506.41
2024-09-10,2516.735
2024-09-11,2511.675
2024-09-12,2558.74
2024-09-13,2578.715
2024-09-16,2582.665
2024-09-17,2569.59
2024-09-18,2559.3
2024-09-19,2586.91
2024-09-20,2622.235
2024-09-23,2628.63
2024-09-24,2657.26
2024-09-25,2656.995
2024-09-26,2672.435
2024-09-27,2658.755
2024-09-30,2634.69
2024-10-01,2663.61
2024-10-02,2658.75
2024-10-03,2656.11
2024-10-04,2653.84
2024-10-07,2642.585
2024-10-08,2621.965
2024-10-09,2607.835
2024-10-10,2629.92
2024-10-11,2657.18
2024-10-14,2648.785
2024-10-15,2662.695
2024-10-16,2673.93
2024-10-17,2693.01
2024-10-18,2721.9
2024-10-21,2719.675
2024-10-22,2748.96
2024-10-23,2715.59
2024-10-24,2736.08
2024-10-25,2747.215
2024-10-28,2742.325
2024-10-29,2774.58
2024-10-30,2787.475
2024-10-31,2743.95
2024-11-01,2736.45
2024-11-04,2736.605
2024-11-05,2743.91
2024-11-06,2659.12
2024-11-07,2706.84
2024-11-08,2684.455
2024-11-11,2619.595
2024-11-12,2598.29
2024-11-13,2572.83
2024-11-14,2564.72
2024-11-15,2563.22
2024-11-18,2612.04
2024-11-19,2632.2
2024-11-20,2650.46
2024-11-21,2669.645
2024-11-22,2716.335
2024-11-25,2625.62
2024-11-26,2632.955
2024-11-27,2636.09
2024-11-28,2637.6
2024-11-29,2650.35
2024-12-02,2638.955
2024-12-03,2643.885
2024-12-04,2650.215
2024-12-05,2631.925
2024-12-06,2633.33
2024-12-09,2660.62
2024-12-10,2693.875
2024-12-11,2718.245
2024-12-12,2680.825
2024-12-13,2648.68
2024-12-16,2652.805
2024-12-17,2646.6
2024-12-18,2585.61
2024-12-19,2594.505
2024-12-20,2623.61
2024-12-23,2612.86
2024-12-24,2616.875
2024-12-26,2633.865
2024-12-27,2622.035
2024-12-30,2605.825
2024-12-31,2624.225
2025-01-02,2658.23
2025-01-03,2639.725
2025-01-06,2636.105
2025-01-07,2648.625
2025-01-08,2661.655
2025-01-09,2670.34
2025-01-10,2689.375
2025-01-13,2663.21
2025-01-14,2677.51
2025-01-15,2696.265
2025-01-16,2714.87
2025-01-17,2703.15
2025-01-20,2707.905
2025-01-21,2744.865
2025-01-22,2756.345
2025-01-23,2754.855
2025-01-24,2770.885
2025-01-27,2740.655
2025-01-28,2763.42
2025-01-29,2760.09
2025-01-30,2794.17
2025-01-31,2797.94
2025-02-03,2814.71
2025-02-04,2842.33
2025-02-05,2867.195
2025-02-06,2855.92
2025-02-07,2861.23
2025-02-10,2908.175
2025-02-11,2897.615
2025-02-12,2903.96
2025-02-13,2928.33
2025-02-14,2882.482
2025-02-17,2898.49
2025-02-18,2935.465
2025-02-19,2933.26
2025-02-20,2939.35
2025-02-21,2936.05
2025-02-24,2952.065
2025-02-25,2915.045
2025-02-26,2916.275
2025-02-27,2877.195
2025-02-28,2858.14
2025-03-03,2892.985
2025-03-04,2917.85
2025-03-05,2919.25
2025-03-06,2911.02
2025-03-07,2910.705
2025-03-10,2889.5
2025-03-11,2915.695
2025-03-12,2933.61
2025-03-13,2988.695
2025-03-14,2984.91
2025-03-17,3001.13
2025-03-18,3034.155
2025-03-19,3047.105
2025-03-20,3044.66
2025-03-21,3023.985
2025-03-24,3012.15
2025-03-25,3020.09
2025-03-26,3019.5
2025-03-27,3056.635
2025-03-28,3085.345
2025-03-31,3123.79
2025-04-01,3114.475
2025-04-02,3134.305
2025-04-03,3114.63
2025-04-04,3037.885
2025-04-07,2981.985
2025-04-08,2982.25
2025-04-09,3082.95
2025-04-10,3175.365
2025-04-11,3237.93
2025-04-14,3210.68
2025-04-15,3229.795
2025-04-16,3343.1
2025-04-17,3327.375
2025-04-21,3424.235
2025-04-22,3381.16
2025-04-23,3288.24
2025-04-24,3348.99
2025-04-25,3319.345
2025-04-28,3343.875
2025-04-29,3317.15
2025-04-30,3288.125
2025-05-01,3238.125
2025-05-02,3240.95
2025-05-05,3334.195
2025-05-06,3431.14
2025-05-07,3364.355
2025-05-08,3305.98
2025-05-09,3325.39
2025-05-12,3235.075
2025-05-13,3250.18
2025-05-14,3177.585
2025-05-15,3239.97
2025-05-16,3204.435
2025-05-19,3230.25
2025-05-20,3289.785
2025-05-21,3315.285
2025-05-22,3295.075
2025-05-23,3358.125
2025-05-26,3342.475
2025-05-27,3300.75
2025-05-28,3288.55
2025-05-29,3317.615
2025-05-30,3289.7
2025-06-02,3381.87
2025-06-03,3353.385
2025-06-04,3372.45
2025-06-05,3352.73
2025-06-06,3309.98
2025-06-09,3325.675
2025-06-10,3322.955
2025-06-11,3355.25
2025-06-12,3386.58
2025-06-13,3432.835
2025-06-16,3385.22
2025-06-17,3388.455
2025-06-18,3369.34
2025-06-19,3370.38
2025-06-20,3368.75
2025-06-23,3369.2
2025-06-24,3323.295
2025-06-25,3332.33
2025-06-26,3327.82
2025-06-27,3274.175
2025-06-30,3303.15
2025-07-01,3338.825
2025-07-02,3357.28
2025-07-03,3326.03
2025-07-04,3336.615
2025-07-07,3336.44
2025-07-08,3301.72
2025-07-09,3313.7
2025-07-10,3324.015
2025-07-11,3355.665
2025-07-14,3343.755
2025-07-15,3325.005
2025-07-16,3347.6
2025-07-17,3339.06
2025-07-18,3350.095
2025-07-21,3397.06
2025-07-22,3431.56
2025-07-23,3387.45
2025-07-24,3368.71
2025-07-25,3337.07
2025-07-28,3314.45
2025-07-29,3326.67
2025-07-30,3275.31
2025-07-31,3290.12
2025-08-01,3362.895
2025-08-04,3373.635
2025-08-05,3380.96
2025-08-06,3369.27
2025-08-07,3396.48
2025-08-08,3397.73
2025-08-11,3342.67
2025-08-12,3348.345
2025-08-13,3355.695
2025-08-14,3335.585
2025-08-15,3335.7
2025-08-18,3332.895
2025-08-19,3315.7
2025-08-20,3348.485
2025-08-21,3338.71
2025-08-22,3371.23
2025-08-25,3365.72
2025-08-26,3393.745
2025-08-27,3397.72
2025-08-28,3417.06
2025-08-29,3447.435
2025-09-01,3476.365
2025-09-02,3533.545
2025-09-03,3559.26
2025-09-04,3545.895
2025-09-05,3586.545
2025-09-08,3635.85
2025-09-09,3626.315
2025-09-10,3640.585
2025-09-11,3634.12
2025-09-12,3643.085
2025-09-15,3678.79
2025-09-16,3689.855
2025-09-17,3659.975
2025-09-18,3644.18
2025-09-19,3684.975
2025-09-22,3746.355
2025-09-23,3764.205
2025-09-24,3736.165
2025-09-25,3749.44
2025-09-26,3759.855
2025-09-29,3833.88
2025-09-30,3858.45
2025-10-01,3865.53
2025-10-02,3856.56
2025-10-03,3886.455
2025-10-06,3960.69
2025-10-07,3984.33
2025-10-08,4041.9
2025-10-09,3976.24
2025-10-10,4016.68
2025-10-13,4110.335
2025-10-14,4142.625
2025-10-15,4207.74
2025-10-16,4326.065
2025-10-17,4254.21
2025-10-20,4355.795
2025-10-21,4125.27
2025-10-22,4099.4
2025-10-23,4126.025
